Number,SMILE,IP,EA,HomoLumoGap,MolWt,MolLogP,MolMR,HeavyAtomCount,LabuteASA,BalabanJ,BertzCT,LF,GWP
0,C(#N)C(C(F)(F)F)(C(F)(F)F)F,0.460778278,-0.045651207,0.32379,195.037,2.34288,21.562,12,61.38540487,5.135322704,190.9169406,1.537819095,3.439332694
1,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,-0.040775006,0.25182,200.028,3.2616,21.352,12,60.46875756,4.964229828,170.08385,-1.070581074,0.294466226
2,C(=C(/C(F)(F)F)\F)(\C(F)(F)F)/F,0.401892614,-0.040775006,0.25182,200.028,3.2616,21.352,12,60.46875756,4.964229828,170.08385,-1.070581074,0.294466226
3,C(=C(/C(F)(F)F)\F)\F,0.387456284,-0.081865793,0.26508,132.031,2.3291,16.354,8,41.60720924,4.028893685,98.73163484,-1.568636236,-0.463441557
4,C(=C(/F)\Cl)(\F)/Cl,0.34915741,-0.06960847,0.24204,132.924,2.5296,20.948,6,43.35219337,3.675948765,59.61727061,-1.721246399,-0.899629455
5,C(=C(\C(F)(F)F)/F)\F,0.38680363,-0.078676595,0.26133,132.031,2.3291,16.354,8,41.60720924,4.028893685,98.73163484,-1.795880017,-0.928117993
6,C(=C(Cl)Cl)(Cl)Cl,0.34069019,-0.03826466,0.22142,165.834,3.0682,30.438,6,55.62765502,3.675948765,55.61727061,-0.521433504,0.802089258
7,C(=C(Cl)Cl)(F)F,0.34990958,-0.07309798,0.24667,132.924,2.5296,20.948,6,43.35219337,3.675948765,59.61727061,-2.22184875,-1.677780705
8,C(=C(Cl)Cl)Cl,0.34557732,-0.05399329,0.2316,131.389,2.5017,25.642,5,45.32438879,3.143197306,42.85475297,-1.823908741,-1.356547324
9,C(=C(F)F)(C(=C(F)F)F)F,0.322808574,-0.052947202,0.2002,162.032,3.1416,20.7,10,51.44808372,4.708295227,159.9244972,-2.522878745,-2.397940009
10,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,-0.066658337,0.25522,200.028,3.2616,21.352,12,60.46875756,5.00762049,193.593625,-1.795880017,-1.045757491
11,C(=C(F)F)(C(C(F)(F)F)(F)F)F,0.382938944,-0.066658337,0.25522,200.028,3.2616,21.352,12,60.46875756,5.00762049,193.593625,-1.795880017,-1.045757491
12,C(=C(F)F)(C(F)(F)F)F,0.385783705,-0.084676947,0.26608,150.021,2.6263,16.405,9,45.77274464,4.39951587,125.7286241,-1.823908741,-1.045757491
13,C(=C(F)F)(F)F,0.367042484,-0.140748955,0.2841,100.014,1.991,11.458,6,31.07673172,3.675948765,55.61727061,-2.522878745,-2.397940009
14,C(=C(F)F)(OC(F)(F)F)F,0.369837428,-0.110437553,0.27597,166.02,2.5579,17.49,10,50.88628987,4.055712041,141.5621435,-2.397940009,-2
15,C(=C(F)F)F,0.367537859,-0.134661826,0.28046,82.024,1.6938,11.407,5,26.91119632,3.143197306,42.85475297,-2.397940009,-2.301029996
